Comments,video source,topic,bias of video,bias
“It misses all the people that haven’t done anything bad yet but may do something bad in the future.”   There it is folks. ALL GUN LAWS ARE UNCONSTITUTIONAL,6,GC,0,2
That's because Affirmative Action has been gamed to benefit white women mainly. It's totally a Trojan horse to continue the same bullshit. I'm black and I can't name a single time when Affirmative Action has done anything for me.,3,AA,1,1
"Problem with licensing is you run into places like New york where the waiting time is basically zero divided by one, its indefinite unless you are a celebrity or you bribe the police.",6,GC,0,2
"It’s not about abortion — it’s about my body and my FREEDOM to decide.  

And WORSE YET — having NO access to the “a&@!#%! holes” who decided what I SHOULD BELIEVE or not believe.",13,AL,0,0
"So many people are trying to fix The American problem with European solutions.
That wouldn't work, we can't just drop some drastic and immediate legislation on everyone like that, we're at a point with gun culture that any fix we make has to be a unique solution carried out over time.
Also, ""Just make them illegal"", as some people so snarkily argue, is a terrible idea, if we did that the whole country would explode, implode, sink into the ocean, and then fly into the sun.",6,GC,0,1
"I really hate the way this baby was treated like a cancerous tumor.... Why not use protection if you are this against creating life? Or leave the baby up for adoption, babies are the first to be adopted by families over older children... The new life is not you or your partner but its own individual, we all have potential in us so why not give them a chance",13,AL,0,2
Love Affait??? Its Our God Given 2A Right Given To Us At Birth,9,GC,1,2
@SPC v4 Because nobody needs a gun. You can defend yourself without a gun if somebody assaults you and the fact that you can walk in a store and buy a gun without even knowing how to use one is ridiculous. It just makes people more dangerous.,6,GC,0,0
"""Half White, half minority""??",3,AA,1,1
So amazing! Blessings to Ben and to all who stand up for the Sanctity of LIFE…!!!,17,AL,2,2
"Why can't she just be happy being president of Star Trek?😆

ALERT: This comment is under YOUTUBE censorship attack by the...""FUK WHAT YOU SAYING IT HERE BOT"". If a ""FUK WHAT YOU SAYING IT HERE"" B0T has replied to your comment, it means your comment IS NOT VISIBLE TO OTHERS‼️ Repost the comment until the B0T gives up.",12,AL,0,1
"One of the tactics of a group to make a country into a police state, is to disarm the public…",10,GC,2,2
I'm so sick and tired of this make a law that every gun owner has to have a safe approved by our government and no more weapons for anyone under 23,6,GC,0,2
The Dems. Their holy Grail is abortion.  They have no fear of God. You will though.,17,AL,2,2
"Suprise, surprise, white liberals are some of the most racist people in the country, they just do things under the guise of helping minorities.",3,AA,1,2
"Affirmative action wasn't effective, it was discriminatory and unfair",2,AA,1,2
I'd argue for affirmative action based on average income/wealth. Only 1% of admitted students should be among the top 1%.,4,AA,0,1
Give the legacy admissions to regular kids - about 30%,2,AA,1,1
Thank you for your courage to speak the truth..thank you for your love and compassion for our precious voiceless unborn children..God bless you.,17,AL,2,2
"Grrr it has nothing to do with viability, it has to do with females having control of their own bodies not the government.  With all of the freedom talk with no masking and no vaccines mandates from the right you would think they would be totally anti abortion.  The thought of the government owning you as a woman if you are pregnant or anything else is the opposite of everything the right is supposed to stand for.  They are so pro life they want to put an AR-15 in the hands of teachers to protect kids from other kids with AR-15's.  Strange world",14,AL,1,0
"Because I stop you from killing small living things, being the sociopath that you are, you're going to get violent with me. Oh no no no no.",15,AL,1,1
"Less than 20 percent of American Blacks who are descendants of slavery entered college, so getting rid of student loan debt doesn't help most American Blacks nor it doesn't close the racial wealth gap",3,AA,1,0
As a South asian and I think it should be based more on poverty and the school you went to than race itself. More factors taken into account is better,4,AA,0,1
